code,name,class_type,parent_code,predefined_type,definition
IfcAirToAirHeatRecovery,Air to Air Heat Recovery,Class,IfcEnergyConversionDevice,,"An air-to-air heat recovery device employs a counter-flow heat exchanger between inbound and outbound air flow. It is typically used to transfer heat from warmer air in one chamber to cooler air in the second chamber (i.e., typically used to recover heat from the conditioned air being exhausted and the outside air being supplied to a building), resulting in energy savings from reduced heating (or cooling) requirements."
IfcAirToAirHeatRecoveryFIXEDPLATECOUNTERFLOWEXCHAN,Fixed Plate Counter Flow Exchanger,Class,IfcAirToAirHeatRecovery,FIXEDPLATECOUNTERFLOWEXCHAN,"[[Heat]] exchanger with moving parts and alternate layers of plates, separated and sealed from the exhaust and supply air stream passages with primary air entering at secondary air outlet location and exiting at secondary air inlet location."
IfcAirToAirHeatRecoveryFIXEDPLATECROSSFLOWEXCHANGE,Fixed Plate Cross Flow Exchanger,Class,IfcAirToAirHeatRecovery,FIXEDPLATECROSSFLOWEXCHANGE,"[[Heat]] exchanger with moving parts and alternate layers of plates, separated and sealed from the exhaust and supply air stream passages with secondary air flow in the direction perpendicular to primary air flow."
IfcAirToAirHeatRecoveryFIXEDPLATEPARALLELFLOWEXCHA,Fixed Plate Parallel Flow Exchanger,Class,IfcAirToAirHeatRecovery,FIXEDPLATEPARALLELFLOWEXCHA,"[[Heat]] exchanger with moving parts and alternate layers of plates, separated and sealed from the exhaust and supply air stream passages with primary air entering at secondary air inlet location and exiting at secondary air outlet location."
IfcAirToAirHeatRecoveryHEATPIPE,Heat Pipe,Class,IfcAirToAirHeatRecovery,HEATPIPE,A passive energy recovery device with a heat pipe divided into evaporator and condenser sections.
IfcAirToAirHeatRecoveryROTARYWHEEL,Rotary Wheel,Class,IfcAirToAirHeatRecovery,ROTARYWHEEL,A heat wheel with a revolving cylinder filled with an air-permeable medium having a large internal surface area.
IfcAirToAirHeatRecoveryRUNAROUNDCOILLOOP,Runaround Coil Loop,Class,IfcAirToAirHeatRecovery,RUNAROUNDCOILLOOP,"A typical coil energy recovery loop places extended surface, finned tube water coils in the supply and exhaust airstreams of a building."
IfcAirToAirHeatRecoveryTHERMOSIPHONCOILTYPEHEATEXC,Thermo Siphon Coil Type Heat Exchangers,Class,IfcAirToAirHeatRecovery,THERMOSIPHONCOILTYPEHEATEXC,"Sealed systems that consist of an evaporator, a condenser, interconnecting piping, and an intermediate working fluid that is present in both liquid and vapor phases where the evaporator and condensor coils are installed independently in the ducts and are interconnected by the working fluid piping."
IfcAirToAirHeatRecoveryTHERMOSIPHONSEALEDTUBEHEATE,Thermo Siphon Sealed Tube Heat Exchangers,Class,IfcAirToAirHeatRecovery,THERMOSIPHONSEALEDTUBEHEATE,"Sealed systems that consist of an evaporator, a condenser, interconnecting piping, and an intermediate working fluid that is present in both liquid and vapor phases where the evaporator and the condenser are usually at opposite ends of a bundle of straight, individual thermosiphon tubes and the exhaust and supply ducts are adjacent to each other."
IfcAirToAirHeatRecoveryTWINTOWERENTHALPYRECOVERYLO,Twin Tower Enthalpy Recovery Loops,Class,IfcAirToAirHeatRecovery,TWINTOWERENTHALPYRECOVERYLO,"An air-to-liquid, liquid-to-air enthalpy recovery system with a sorbent liquid circulates continuously between supply and exhaust airstreams, alternately contacting both airstreams directly in contactor towers."
IfcAlarm,Alarm,Class,IfcDistributionControlElement,,An alarm is a device that signals the existence of a condition or situation that is outside the boundaries of normal expectation or that activates such a device.
IfcAlarmBELL,Bell,Class,IfcAlarm,BELL,An audible alarm.
IfcAlarmBREAKGLASSBUTTON,Break Glass Button,Class,IfcAlarm,BREAKGLASSBUTTON,An alarm activation mechanism in which a protective glass has to be broken to enable a button to be pressed.
IfcAlarmLIGHT,Light,Class,IfcAlarm,LIGHT,A visual alarm.
IfcAlarmMANUALPULLBOX,Manual Pull Box,Class,IfcAlarm,MANUALPULLBOX,An alarm activation mechanism in which activation is achieved by a pulling action.
IfcAlarmRAILWAYCROCODILE,Railway Crocodile,Class,IfcAlarm,RAILWAYCROCODILE,An electrical contact placed between the rails (in the four-foot way) to provide warnings in the locomotive cab.
IfcAlarmRAILWAYDETONATOR,Railway Detonator,Class,IfcAlarm,RAILWAYDETONATOR,"A coin-sized device that is used as a loud warning signal to train drivers. It is usually placed on the top of the rail, usually secured with two lead straps, one on each side."
IfcAlarmSIREN,Siren,Class,IfcAlarm,SIREN,An audible alarm.
IfcAlarmWHISTLE,Whistle,Class,IfcAlarm,WHISTLE,An audible alarm.
IfcAlignment,Alignment,Class,IfcLinearPositioningElement,,For the purposes of IFC the English term 'alignment' defines three separate but closely interconnected concepts.
IfcAnnotation,Annotation,Class,IfcProduct,,"An annotation is an information element within the geometric (and spatial) context of a project, that adds a note or meaning to the objects which constitutes the project model. Annotations include additional points, curves, text, dimensioning, hatching and other forms of graphical notes. It also includes virtual or symbolic representations of additional model components, not representing products or spatial structures, such as survey points and lines, contour lines or similar."
IfcAnnotationCONTOURLINE,Contourline,Class,IfcAnnotation,CONTOURLINE,"Annotation used to illustrate lines connecting points of equal elevation or depth, on a map or chart."
IfcAnnotationDIMENSION,Dimension,Class,IfcAnnotation,DIMENSION,"Annotation used to illustrate the measurement or size of an object, often accompanied by numerical values."
IfcAnnotationISOBAR,Isobar,Class,IfcAnnotation,ISOBAR,Annotation used to illustrate lines connecting points of equal pressure on a map or chart.
IfcAnnotationISOLUX,Isolux,Class,IfcAnnotation,ISOLUX,Annotation used to illustrate lines connecting points of equal illuminance or light intensity.
IfcAnnotationISOTHERM,Isotherm,Class,IfcAnnotation,ISOTHERM,Annotation used to illustrate lines connecting points of equal temperature on a map or chart.
IfcAnnotationLEADER,Leader,Class,IfcAnnotation,LEADER,Annotation that includes a line or arrow.
IfcAnnotationSURVEY,Survey,Class,IfcAnnotation,SURVEY,"Annotation used for survey information, such as survey points, survey lines or survey areas."
IfcAnnotationSYMBOL,Symbol,Class,IfcAnnotation,SYMBOL,Annotation that employs graphical symbols or icons to represent specific meanings.
IfcAnnotationTEXT,Text,Class,IfcAnnotation,TEXT,A textual annotation.
IfcAsset,Asset,Class,IfcGroup,,An asset is a uniquely identifiable grouping of elements acting as a single entity that has a financial value or that can be operated on as a single unit.
IfcAudioVisualAppliance,Audio Visual Appliance,Class,IfcFlowTerminal,,"An audio-visual appliance is a device that displays, captures, transmits, or receives audio or video."
IfcAudioVisualApplianceAMPLIFIER,Amplifier,Class,IfcAudioVisualAppliance,AMPLIFIER,A device that receives an audio signal and amplifies it to play through speakers.
IfcAudioVisualApplianceCAMERA,Camera,Class,IfcAudioVisualAppliance,CAMERA,"A device that records images, either as a still photograph or as moving images known as videos or movies. Note that a camera may operate with light from the visible spectrum or from other parts of the electromagnetic spectrum such as infrared or ultraviolet."
IfcAudioVisualApplianceCOMMUNICATIONTERMINAL,Communication Terminal,Class,IfcAudioVisualAppliance,COMMUNICATIONTERMINAL,"A communication terminal is an audio communication device that is usually installed along transportation infrastructure (railways, roads, tunnels etc.) in order to be used by the general public or operation agents for communication. It may specifically be used to make calls to emergency services in tunnels."
IfcAudioVisualApplianceDISPLAY,Display,Class,IfcAudioVisualAppliance,DISPLAY,An electronic device that represents information in visual form such as a flat-panel display or television.
IfcAudioVisualApplianceMICROPHONE,Microphone,Class,IfcAudioVisualAppliance,MICROPHONE,"An acoustic-to-electric transducer or sensor that converts sound into an electrical signal. Microphones types in use include electromagnetic induction (dynamic microphones), capacitance change (condenser microphones) or piezoelectric generation to produce the signal from mechanical vibration."
IfcAudioVisualAppliancePLAYER,P Layer,Class,IfcAudioVisualAppliance,PLAYER,"A device that plays audio and/or video content directly or to another device, having fixed or removable storage media."
IfcAudioVisualAppliancePROJECTOR,Projector,Class,IfcAudioVisualAppliance,PROJECTOR,"An apparatus for projecting a picture on a screen. Whether the device is an overhead, slide projector, or a film projector, it is usually referred to as simply a projector."
IfcAudioVisualApplianceRECEIVER,Receiver,Class,IfcAudioVisualAppliance,RECEIVER,"A device that receives audio and/or video signals, switches sources, and amplifies signals to play through speakers."
IfcAudioVisualApplianceRECORDINGEQUIPMENT,Recording Equipment,Class,IfcAudioVisualAppliance,RECORDINGEQUIPMENT,A recording equipment is a device that records telephone calls or other types of audio data. It also provides the function of archiving and immediate replay.
IfcAudioVisualApplianceSPEAKER,Speaker,Class,IfcAudioVisualAppliance,SPEAKER,"A loudspeaker, speaker, or speaker system is an electroacoustical transducer that converts an electrical signal to sound."
IfcAudioVisualApplianceSWITCHER,Switcher,Class,IfcAudioVisualAppliance,SWITCHER,"A device that receives audio and/or video signals, switches sources, and transmits signals to downstream devices."
IfcAudioVisualApplianceTELEPHONE,Telephone,Class,IfcAudioVisualAppliance,TELEPHONE,"A telecommunications device that is used to transmit and receive sound, and optionally video."
IfcAudioVisualApplianceTUNER,Tuner,Class,IfcAudioVisualAppliance,TUNER,"An electronic receiver that detects, demodulates, and amplifies transmitted signals."
IfcBeam,Beam,Class,IfcBuiltElement,,"An [[IfcBeam]] is typically a horizontal, or nearly horizontal, structural member that is capable of withstanding load primarily by resisting bending. It may also represent such a member from an architectural point of view. It is not required to be load bearing."
IfcBeamBEAM,Beam,Class,IfcBeam,BEAM,A standard beam usually used horizontally.
IfcBeamCORNICE,Cornice,Class,IfcBeam,CORNICE,"A non-loadbearing beam on the longitudinal edge of bridge slab, usually encasing installations."
IfcBeamDIAPHRAGM,Diaphragm,Class,IfcBeam,DIAPHRAGM,End portion of a girder transmitting loads to supports and providing moment resistance to adjoining segment.
IfcBeamEDGEBEAM,Edgebeam,Class,IfcBeam,EDGEBEAM,"A beam on the longitudinal edge of bridge slab, usually concrete, providing additional stiffening and protection from the elements."
IfcBeamGIRDER_SEGMENT,Girder Segment,Class,IfcBeam,GIRDER_SEGMENT,A segment of a girder (e.g. each span of a continuous girder).
IfcBeamHATSTONE,Hatstone,Class,IfcBeam,HATSTONE,"A beam on top of a retaining wall or a wing wall, preventing earth movement."
IfcBeamHOLLOWCORE,Hollow Core,Class,IfcBeam,HOLLOWCORE,A wide often prestressed beam with a hollow-core profile that usually serves as a slab component.
IfcBeamJOIST,Joist,Class,IfcBeam,JOIST,A beam used to support a floor or ceiling.
IfcBeamLINTEL,Lintel,Class,IfcBeam,LINTEL,"A beam or horizontal piece of material over an opening (e.g. door, window)."
IfcBeamPIERCAP,Pier Cap,Class,IfcBeam,PIERCAP,A transversal beam on top of a pier (on a single column or extending from one column of a pier to another column of the same pier).
IfcBeamSPANDREL,Spandrel,Class,IfcBeam,SPANDREL,A tall beam placed on the facade of a building. One tall side is usually finished to provide the exterior of the building. Can be used to support joists or slab elements on its interior side.
IfcBeamT_BEAM,T Beam,Class,IfcBeam,T_BEAM,"A beam that forms part of a slab construction and acts together with the slab which it carries. Such beams are often of T-shape (therefore the English name), but may have other shapes as well, e.g. an L-Shape or an Inverted-T-Shape."
IfcBearing,Bearing,Class,IfcBuiltElement,,"[[Type]] of building element that is usually used to transmit loads from superstructure to substructure, and usually allowing movement (displacement or rotation) in one or more degrees of freedom. It is typically a mechanical component procured as a whole and installed on site, but in simple cases it may be built on site (composed of other building elements, element components, etc.)."
IfcBearingCYLINDRICAL,Cylindrical,Class,IfcBearing,CYLINDRICAL,The bearing functionality is provided by cylinder in a concave cylinder.
IfcBearingDISK,Disk,Class,IfcBearing,DISK,A disk bearing consist of an elastomeric disc between two metal plates.
IfcBearingELASTOMERIC,Elastomeric,Class,IfcBearing,ELASTOMERIC,A pad bearing which carries vertical load by contact stresses between a sheet of sliding material and a mating surface that permits movements by sliding and accommodates rotation by deformation of the elastomer.
IfcBearingGUIDE,Guide,Class,IfcBearing,GUIDE,A bearing that ensures that the structure maintains the correct location or expansion/contraction path and takes no vertical load. Includes also restraint bearings.
IfcBearingPOT,Pot,Class,IfcBearing,POT,A bearing which carries vertical load by compression of an (elastomeric) disc confined in a (steel) cylinder and which accommodates rotations by deformations of the disc.
IfcBearingROCKER,Rocker,Class,IfcBearing,ROCKER,The bearing functionality is provided by a rocker construction. Includes line rocker and point rocker bearings.
IfcBearingROLLER,Roller,Class,IfcBearing,ROLLER,The bearing functionality is provided by one or more rollers that are placed between two plates.
IfcBearingSPHERICAL,Spherical,Class,IfcBearing,SPHERICAL,The bearing functionality is provided by convex dome in a concave basin.
IfcBoiler,Boiler,Class,IfcEnergyConversionDevice,,"A boiler is a closed, pressure-rated vessel in which water or other fluid is heated using an energy source such as natural gas, heating oil, or electricity. The fluid in the vessel is then circulated out of the boiler for use in various processes or heating applications."
IfcBoilerSTEAM,Steam,Class,IfcBoiler,STEAM,[[Steam]] boiler.
IfcBoilerWATER,Water,Class,IfcBoiler,WATER,[[Water]] boiler.
IfcBorehole,Borehole,Class,IfcGeotechnicalAssembly,,"Representation of the concept of a linear geological and geotechnical model, usually an interpretation but sometimes created direct from ground penetrating measurement; The assembly may contain one of more strata and other elements such as capping and lining. The contained subtypes of [[IfcGeotechnicalStratum]] will have shape representations made from straight or bent tubes reflecting the bore diameter, or discs if a 'Yabuki' top surface model is being used."
IfcBridge,Bridge,Class,IfcFacility,,"A Bridge is a civil engineering work that affords passage to pedestrians, animals, vehicles, and services above obstacles or between two points at a height above ground."
IfcBridgeARCHED,Arched,Class,IfcBridge,ARCHED,Bridge that has one or more arches as its main structure.
IfcBridgeCABLE_STAYED,Cable Stayed,Class,IfcBridge,CABLE_STAYED,Bridge with one or more towers and inclined cables that are connected to the top or the shaft of the tower and support the deck.
IfcBridgeCANTILEVER,Cantilever,Class,IfcBridge,CANTILEVER,"Bridge, the main structural members of which are cantilevers."
IfcBridgeCULVERT,Culvert,Class,IfcBridge,CULVERT,"Transverse drain or waterway construction under a road, railway, or canal, or through an embankment, in the form of a large pipe or enclosed channel."
IfcBridgeFRAMEWORK,Framework,Class,IfcBridge,FRAMEWORK,Framework bridge.
IfcBridgeGIRDER,Girder,Class,IfcBridge,GIRDER,A bridge that uses girders as the means of supporting its deck.
IfcBridgePart,Bridge Part,Class,IfcFacilityPart,,Part of a bridge.
IfcBridgePartABUTMENT,Abutment,Class,IfcBridgePart,ABUTMENT,"The substructures at the ends of a bridge, supporting its superstructure. They may be composed of wing walls (on each side), head wall, stem wall, and cone"
IfcBridgePartDECK,Deck,Class,IfcBridgePart,DECK,A bridge deck is comprised of those elements used for conveying traffic but does not perform structural functions of the superstructure
IfcBridgePartDECK_SEGMENT,Deck Segment,Class,IfcBridgePart,DECK_SEGMENT,A segment of the bridge deck. Segments may be separated by construction or expansion joints
IfcBridgePartFOUNDATION,Foundation,Class,IfcBridgePart,FOUNDATION,"The structural elements that support and anchor the bridge to the ground, transmitting all loads to the supporting strata"
IfcBridgePartPIER,Pier,Class,IfcBridgePart,PIER,A bridge pier is a type of structure that extends to the ground below or into the water. It is used to support bridge superstructure and transfer the loads to the foundation.
IfcBridgePartPIER_SEGMENT,Pier Segment,Class,IfcBridgePart,PIER_SEGMENT,A segment of the bridge pier. Segments may be separated by construction or expansion joints
IfcBridgePartPYLON,Pylon,Class,IfcBridgePart,PYLON,A vertical structure supporting cables in suspended or stayed structures
IfcBridgePartSUBSTRUCTURE,Sub Structure,Class,IfcBridgePart,SUBSTRUCTURE,The elements that transfer loads to the ground. It includes abutments and piers
IfcBridgePartSUPERSTRUCTURE,Super Structure,Class,IfcBridgePart,SUPERSTRUCTURE,The part of the bridge that span horizontally and transfers the traffic load to the bridge substructures
IfcBridgePartSURFACESTRUCTURE,Surface Structure,Class,IfcBridgePart,SURFACESTRUCTURE,"Technical note: Because this class is a 'Predefined Type' in IFC, meaning a specialisation of its par"
IfcBridgeSUSPENSION,Suspension,Class,IfcBridge,SUSPENSION,"Bridge, the main structural members of which are catenary cables from which the deck is suspended."
IfcBridgeTRUSS,Truss,Class,IfcBridge,TRUSS,Bridge with braced triangulated frame designed to act as a beam.
IfcBuilding,Building,Class,IfcFacility,,"A building represents a structure that provides shelter for its occupants or contents and stands in one place. The building is also used to provide a basic element within the spatial structure hierarchy for the components of a building project (together with site, storey, and space)."
IfcBuildingElementPart,Building Element Part,Class,IfcElementComponent,,"[[IfcBuildingElementPart]] represents major components as subordinate parts of a building element. Typical usage examples include precast concrete sandwich walls, where the layers may have different geometry representations. In this case the layered material representation does not sufficiently describe the element. Each layer is represented by an own instance of the [[IfcBuildingElementPart]] with its own geometry description."
IfcBuildingElementPartAPRON,Apron,Class,IfcBuildingElementPart,APRON,"A form of scour protection consisting of timber, concrete, riprap, paving, or other construction placed adjacent to abutments and piers to prevent undermining."
IfcBuildingElementPartARMOURUNIT,Armour Unit,Class,IfcBuildingElementPart,ARMOURUNIT,A large quarry stone or concrete shaped unit used as erosion prevention on slopes such as revetments and breakwaters. These units are grouped together into a Course layer.
IfcBuildingElementPartINSULATION,Insulation,Class,IfcBuildingElementPart,INSULATION,"The part provides thermal insulation, for example as insulation layer between wall panels in sandwich walls or as infill in stud walls."
IfcBuildingElementPartPRECASTPANEL,Precast Panel,Class,IfcBuildingElementPart,PRECASTPANEL,"The part is a precast panel, usually as an internal or external layer in a sandwich wall panel."
IfcBuildingElementPartSAFETYCAGE,Safety Cage,Class,IfcBuildingElementPart,SAFETYCAGE,Safety cages are an assembly of circular and vertical bars that are fastened to the stiles of fixed ladders and are arranged to enclose the path of a worker when climbing the ladder. Ladders so enclosed are also known as caged or hooped ladders.
IfcBuildingElementProxy,Building Element Proxy,Class,IfcBuiltElement,,"The [[IfcBuildingElementProxy]] is a proxy definition that provides the same functionality as subtypes of [[IfcBuiltElement]], but without having a predefined meaning of the special type of building element it represents."
IfcBuildingStorey,Building Storey,Class,IfcSpatialStructureElement,,The building storey has an elevation and typically represents a (nearly) horizontal aggregation of spaces that are vertically bound.
IfcBuiltElement,Built Element,Class,IfcElement,,"The built element comprises all elements that are primarily part of the construction of a built facility, i.e., its structural and space separating system. Built elements are all physically existent and tangible things."
IfcBuiltSystem,Built System,Class,IfcSystem,,A built system is a group by which built elements are grouped according to a common function within the facility.
IfcBuiltSystemEROSIONPREVENTION,Erosion Prevention,Class,IfcBuiltSystem,EROSIONPREVENTION,A grouping of elements into a built system for preventing unwanted relocation of material particles in earthworks slopes or rock faces.;Planting; Solid; Framework; Anchored framework; Shotcrete; Screening; Geosynthetics (geotextiles)
IfcBuiltSystemFENESTRATION,Fenestration,Class,IfcBuiltSystem,FENESTRATION,"[[System]] of doors, windows, and other fillings in openings in a built envelope that are designed to permit the passage of air or light."
IfcBuiltSystemFOUNDATION,Foundation,Class,IfcBuiltSystem,FOUNDATION,[[System]] of shallow and deep foundation elements that transmit forces to the supporting ground.
IfcBuiltSystemLOADBEARING,Loadbearing,Class,IfcBuiltSystem,LOADBEARING,[[System]] of built elements that transmit forces and stiffen the construction.
IfcBuiltSystemMOORING,Mooring,Class,IfcBuiltSystem,MOORING,"[[System]] of components and elements responsible for keeping or holding an element (a vessel, platform or set of catenary lines) in a desired position."
IfcBuiltSystemOUTERSHELL,Outer Shell,Class,IfcBuiltSystem,OUTERSHELL,[[System]] of built elements that provide the outer skin to protect the construction (such as the facade).
IfcBuiltSystemPRESTRESSING,Prestressing,Class,IfcBuiltSystem,PRESTRESSING,"[[System]] of elements providing pre-stressing to the structure, including typically manufactured products such as tendons, anchorages (active, dead, coupling), ducts, vents and deviators, and in-situ concrete segments, tendon spacers, blisters and additional reinforcements."
IfcBuiltSystemRAILWAYLINE,Railway Line,Class,IfcBuiltSystem,RAILWAYLINE,A set of functional tracks with explicit terminals. It is usually composed of a set of tracks with continuous track parts and alignments.
IfcBuiltSystemRAILWAYTRACK,Railway Track,Class,IfcBuiltSystem,RAILWAYTRACK,Railway track system. It is usually composed of continuous sequences of track parts and alignments.
IfcBuiltSystemREINFORCING,Reinforcing,Class,IfcBuiltSystem,REINFORCING,[[System]] of elements providing reinforcing to the structure.
IfcBuiltSystemSHADING,Shading,Class,IfcBuiltSystem,SHADING,[[System]] of shading elements (external or internal) that permits the limitation or control of impact of natural sun light.
IfcBuiltSystemTRACKCIRCUIT,Track Circuit,Class,IfcBuiltSystem,TRACKCIRCUIT,"A track circuit is an electric circuit of which the rails of a track section form a part, with usually a source of current connected at one end and a detection device at the other end for detecting whether this track section is clear or occupied by a vehicle. In a continuous signalling system, the track circuit can be used to transmit information between the ground and the train.;definition from IEC 60050-82."
IfcBuiltSystemTRANSPORT,Transport,Class,IfcBuiltSystem,TRANSPORT,[[System]] of all transport elements in a facility that enable the transport of people or goods.
IfcBurner,Burner,Class,IfcEnergyConversionDevice,,"A burner is a device that converts fuel into heat through combustion. It includes gas, oil, and wood burners."
IfcCableCarrierFitting,Cable Carrier Fitting,Class,IfcFlowFitting,,A cable carrier fitting is a fitting that is placed at junction or transition in a cable carrier system.
IfcCableCarrierFittingBEND,Bend,Class,IfcCableCarrierFitting,BEND,A fitting that changes the route of the cable carrier.
IfcCableCarrierFittingCONNECTOR,Connector,Class,IfcCableCarrierFitting,CONNECTOR,"Connector fitting, typically used to join two ports together within a flow distribution system (e.g., a coupling used to join two duct segments)."
IfcCableCarrierFittingCROSS,Cross,Class,IfcCableCarrierFitting,CROSS,A fitting at which two branches are taken from the main route of the cable carrier simultaneously.
IfcCableCarrierFittingJUNCTION,Junction,Class,IfcCableCarrierFitting,JUNCTION,"A fitting with typically more than two ports used to redistribute flow among the ports and/or to change the direction of flow between connected elements (e.g, tee, cross, wye, etc.)."
IfcCableCarrierFittingREDUCER,Reducer,Class,IfcCableCarrierFitting,REDUCER,A fitting that changes the physical size of the main route of the cable carrier.
IfcCableCarrierFittingTEE,Tee,Class,IfcCableCarrierFitting,TEE,A fitting at which a branch is taken from the main route of the cable carrier.
IfcCableCarrierFittingTRANSITION,Transition,Class,IfcCableCarrierFitting,TRANSITION,A fitting with typically two ports having different shapes or sizes. Can also be used to change the direction of flow between connected elements.
IfcCableCarrierSegment,Cable Carrier Segment,Class,IfcFlowSegment,,A cable carrier segment is a flow segment that is specifically used to carry and support cabling.
IfcCableCarrierSegmentCABLEBRACKET,Cable Bracket,Class,IfcCableCarrierSegment,CABLEBRACKET,"A cable bracket is a horizontal cable support fixed at one end only, spaced at intervals, on which cables rest."
IfcCableCarrierSegmentCABLELADDERSEGMENT,Cable Ladder Segment,Class,IfcCableCarrierSegment,CABLELADDERSEGMENT,An open carrier segment on which cables are carried on a ladder structure.
IfcCableCarrierSegmentCABLETRAYSEGMENT,Cable Tray Segment,Class,IfcCableCarrierSegment,CABLETRAYSEGMENT,A (typically) open carrier segment onto which cables are laid.
IfcCableCarrierSegmentCABLETRUNKINGSEGMENT,Cable Trunking Segment,Class,IfcCableCarrierSegment,CABLETRUNKINGSEGMENT,An enclosed carrier segment with one or more compartments into which cables are placed.
IfcCableCarrierSegmentCATENARYWIRE,Catenary Wire,Class,IfcCableCarrierSegment,CATENARYWIRE,A catenary wire is a longitudinal wire supporting the grooved contact wires either directly or indirectly.;definition from UIC 719-1.
IfcCableCarrierSegmentCONDUITSEGMENT,Conduit Segment,Class,IfcCableCarrierSegment,CONDUITSEGMENT,An enclosed tubular carrier segment through which cables are pulled.
IfcCableCarrierSegmentDROPPER,Dropper,Class,IfcCableCarrierSegment,DROPPER,A dropper is a cable carrier used to suspend cable from another cable. It could also conduct electricity.
IfcCableFitting,Cable Fitting,Class,IfcFlowFitting,,"A cable fitting is a fitting that is placed at a junction, transition or termination in a cable system."
IfcCableFittingCONNECTOR,Connector,Class,IfcCableFitting,CONNECTOR,A fitting that joins two cable segments of the same connector type (though potentially different gender).
IfcCableFittingENTRY,Entry,Class,IfcCableFitting,ENTRY,A fitting that begins a cable segment at a non-electrical element such as a grounding clamp attached to a pipe.
IfcCableFittingEXIT,Exit,Class,IfcCableFitting,EXIT,A fitting that ends a cable segment at a non-electrical element such as a grounding clamp attached to a pipe or to the ground.
IfcCableFittingFANOUT,Fanout,Class,IfcCableFitting,FANOUT,A fan out is a special cable fitting that provides a safe transition from multi-fiber cable units to individual fibers.
IfcCableFittingJUNCTION,Junction,Class,IfcCableFitting,JUNCTION,A fitting that joins three or more segments of arbitrary connector types for signal splitting or multiplexing.
IfcCableFittingTRANSITION,Transition,Class,IfcCableFitting,TRANSITION,A fitting that joins two cable segments of different connector types.
IfcCableSegment,Cable Segment,Class,IfcFlowSegment,,"A cable segment is a flow segment used to carry electrical power, data, or telecommunications signals."
IfcCableSegmentBUSBARSEGMENT,Busbar Segment,Class,IfcCableSegment,BUSBARSEGMENT,Electrical conductor that makes a common connection between several electrical circuits. Properties of a busbar are the same as those of a cable segment and are captured by the cable segment property set.
IfcCableSegmentCABLESEGMENT,Cable Segment,Class,IfcCableSegment,CABLESEGMENT,"Cable with a specific purpose to lead electric current within a circuit or any other electric construction. Includes all types of electric cables, mainly several core segments or conductor segments wrapped together."
